ID,title,author,numAuthors,binding,publisher,isbn,pubYear,pubMonth,pubDay,pages,volume,lang,editionDescr
2256,Sociology : A Brief Introduction,"Thio, Alex",1,Trade Cloth,HarperCollins Publishers,9780065023459,1994,,,"xvii, 442",,ENG,
2257,Psychology,"Zimbardo, Philip G. Smith, Richard G.",2,Paperback,"Addison-Wesley Educational Publishers, Incorporated",9780065023541,1994,1,,,,ENG,Teacher's Edition of Textbook
2258,Harper Collins Concise Handbook for Writers,"Adams, Angela",1,Paperback,Longman Publishing Group,9780065025361,1998,7,,,,ENG,
2259,One More for the Road,"Bradbury, Ray",1,Trade Cloth,HarperCollins Publishers,9780066211060,2002,4,,304,,ENG,
2260,Nobody's Baby but Mine,"Phillips, Susan Elizabeth",1,E-Book,"HarperCollins Canada, Limited",9780066212203,2002,1,01,,,ENG,
2261,E-myth Contractor : Why Most Contractors' Businesses Don't Work and What to Do about It,"Gerber, Michael E.",1,Trade Cloth,HarperCollins Publishers,9780066214689,2002,3,01,144,,ENG,
2262,Where Do Balloons Go? : An Uplifting Mystery,"Curtis, Jamie Lee",1,Trade Cloth,HarperCollins Publishers,9780066237077,2001,4,,,,ENG,
2263,Fairy's Return,"Levine Levine, Gail Carson",2,Trade Cloth,HarperCollins Publishers,9780066238005,2002,0,08,112,,ENG,
2264,Farfallina and Marcel,"Keller, Holly",1,Library Binding,HarperCollins Publishers,9780066239330,2002,8,,32,,ENG,
2265,Shakespeare On Management : Wise Business Counsel from the Bard,"Shafritz, Jay M.",1,Paperback,HarperCollins Publishers,9780066620374,1999,9,08,176,,ENG,
2266,Basque Kitchen : Tempting Food from the Pyrenees,"Hirigoyen, Cameron Hirigoyen, Gerald",2,Trade Cloth,HarperCollins Publishers,9780067574614,1999,4,21,272,,ENG,
2267,Wines of America,"Adams, Leon D.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070003194,1984,9,,640,,ENG,Revised
2268,Data Reverse Engineering : Slaying the Legacy Dragon,"Aiken, Peter H.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070007482,1995,0,,320,,ENG,
2269,Mental Capacity : Medical and Legal Aspects of the Aging,"Aker, J. Brooke Beam, James R. Walsh, Arthur C.",3,Trade Cloth,Shepard's,9780070007567,1977,2,,372,,ENG,
2270,FORTRAN IV Pocket Handbook,"Messer, Andrew C. Alexander, Daniel E.",2,Paperback,"McGraw-Hill Companies, The",9780070010154,1972,,,96,,ENG,
2271,Sportsmanlike Driving,American Automobile Association Staff,1,Trade Cloth,"McGraw-Hill Companies, The",9780070013384,1987,1,,352,,ENG,
2272,Architectural Office Standards and Practices : A Practical User's Guide,"Jenks, Larry D.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070015333,1995,8,,304,,ENG,
2273,Life of the Pond,"Amos, William H.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070015869,1967,,,,,ENG,
2274,Purchasing Clerk,"Andrews, M. E.",1,Paperback,"McGraw-Hill Companies, The",9780070018334,1972,0,,,,ENG,
2275,Treating Schizophrenic Patients : A Critical Analytical Approach,"Stone, Michael H. Forest, David Arieti, Silvano",3,Trade Cloth,"McGraw-Hill Companies, The",9780070019171,1983,1,,352,,ENG,
2276,Breast Cancer : Diagnosis and Treatment,,0,Trade Cloth,McGraw-Hill Professional Publishing,9780070021907,1986,0,,608,,ENG,
2277,It All Started with Marx,"Armour, Richard",1,Paperback,"McGraw-Hill Companies, The",9780070022546,1958,,,,,ENG,
2278,Going Like Sixty : A Lighthearted Look at the Later Years,"Armour, Richard",1,Paperback,"McGraw-Hill Companies, The",9780070022928,1976,9,,,,ENG,Reprint
2279,Shadowland,"Arnold, William",1,Trade Cloth,"McGraw-Hill Companies, The",9780070023116,1978,2,,260,,ENG,
2280,Introduction to Microwave Theory,"Atwater, H. A.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070024205,1962,,,,,ENG,
2281,Specifications for Architecture Engineering and Construction,"Ayers, Chesley",1,Trade Cloth,"McGraw-Hill Companies, The",9780070026421,1984,3,,,,ENG,
2282,Bridge Analysis Simplified,"Jaeger, Leslie G. Bahkt, B.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070030206,1985,5,,"ix, 294",,ENG,
2283,Watson's Apology,"Bainbridge, Beryl",1,Paperback,"McGraw-Hill Companies, The",9780070032552,1988,2,,224,,ENG,
2284,Tailoring,"Bane, Allyne",1,Trade Cloth,"McGraw-Hill Companies, The",9780070036086,1974,6,,560,,ENG,
2285,Geometry : Its Elements and Structure,"Bannister, Robert L. Posamentier, Alfred S. Banks, J. Houston",3,Trade Cloth,"McGraw-Hill Companies, The",9780070036819,1972,,,"xi, 612",,ENG,
2286,Urban Design as Public Policy,"Barnett, Jonathan",1,Trade Cloth,"McGraw-Hill Companies, The",9780070037663,1974,2,,200,,ENG,
2287,Animal Production and Management,"Harmon, H. Barrick, R. K.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070038523,1988,1,,416,,ENG,
2288,Chinese and Oriental Art,"Batterberry, Michael",1,Trade Cloth,"McGraw-Hill Companies, The",9780070040786,1969,,,,,ENG,
2289,Sourcebook of HVAC Specifications,"Beaty, F. E.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070041929,1986,2,,608,,ENG,
2290,Digital Analog System Circulation Development,"Belove, Charles Schilling, Donald L. Schachter, Harry",3,Trade Cloth,"McGraw-Hill Companies, The",9780070044203,1973,2,,448,,ENG,
2291,Electric Circuits,"Balabanian, Norman",1,Trade Cloth,McGraw-Hill Higher Education,9780070048041,1993,2,,864,,ENG,
2292,Most Common Mistakes in English Usage,"Berry, Thomas Elliot",1,Paperback,"McGraw-Hill Companies, The",9780070050532,1971,6,01,146,,ENG,Reprint
2293,Networking Smart : How to Build Relationships for Personal and Organization Success,"Baker, Wayne E.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070050921,1993,9,,256,,ENG,
2294,Masters of Naive Art : A History and Worldwide Survey,"Bihalji-Merin, Oto",1,Trade Cloth,"McGraw-Hill Companies, The",9780070052574,1971,,,304,,ENG,
2295,Problem-Oriented Record : A Self-Learning Module,"Birmingham, Jacqueline J.",1,Paperback,"McGraw-Hill Companies, The",9780070053854,1978,,,,,ENG,
2296,Graph Theory : Including Hundreds of Solved Problems,"Balakrishnan, V.",1,Paperback,"McGraw-Hill Companies, The",9780070054899,1997,2,01,288,,ENG,
2297,Montage : Deuxi�me Niveau,"Owen, Janice B. Grace, Carmen Border, Laura L. B. Bleuze, Ruth Allen Baker, Lucia F.",5,Paperback,McGraw-Hill Higher Education,9780070060203,1997,1,,528,,"ENG,FRE",
2298,"Aviation and Aerospace Almanac, 1998","Aerospace Daily Staff Vedral, Joyce L. Aviation Daily Staff",3,Paperback,McGraw-Hill Professional Publishing,9780070063631,1997,1,,1000,,ENG,
2299,Day the Animals Went on Strike,"Bond, Michael",1,Library Binding,American Heritage Press,9780070064799,1972,,,28,,ENG,
2300,Management,"Boone, Louis E.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070065741,1992,1,,,,ENG,Teacher's Edition of Textbook
2301,Controlling Air Movement : A Manual for Architects and Builders,"Boutet, T.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070067134,1988,1,,336,,ENG,
2302,Basic Statistics for Business and Economics,"Bowen, Earl K. Starr, Martin K.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070067257,1982,2,,,,ENG,
2303,Management,Bovee,1,Trade Cloth,"McGraw-Hill Companies, The",9780070068322,1993,1,,,,ENG,Teacher's Edition of Textbook
2304,En Directo! : A Beginning Course,"Schaffer, Martha E. Rissel, Dorothy A. Morris, Maria Lett, John A. Boylan, Patricia",5,Paperback,McGraw-Hill Higher Education,9780070069725,1994,6,,,,ENG,Workbook
2305,Becoming a Complete Communicator,"Barnett, Vincent",1,Trade Cloth,"McGraw-Hill Companies, The",9780070069909,1996,1,,,,ENG,
2306,Understanding Business and Personal Law,"Sukys, Paul A. Anderson, Lois",2,Paperback,"McGraw-Hill Ryerson, Limited",9780070084384,1987,5,,,,ENG,
2307,How to Select a Business Site : The Executive's Location Guide,"Browning, Jon E. Roberson, James O.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070084957,1980,3,,,,ENG,
2308,Complex Variables and Applications,"Brown, James W. Churchill, Ruel V.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070084964,1995,0,,,,ENG,
2309,Litigation of Federal Tax Controversies,"Burnett, F. Gerald Kafka, Gerald A.",2,CD/Spoken Word,Shepard's,9780070090699,1986,9,,2094,,ENG,
2310,75 Readings Plus,"Buscemi, Santi V. Smith, Charlotte",2,Paperback,"McGraw-Hill Companies, The",9780070093522,1994,1,,"xvi, 472",,ENG,
2311,Time-Saver Standards for Architectural Design Data,"Callender, John H.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070096639,1982,7,,"xv, 1162",,ENG,
2312,Lifeboats to Ararat,"Campbell, Sheldon",1,Paperback,"McGraw-Hill Companies, The",9780070096820,1980,,,,,ENG,Reprint
2313,British and Western Literature,"Gilbert, Miriam Carlsen, G. Robert",2,Trade Cloth,"McGraw-Hill Companies, The",9780070098718,1979,1,,768,,ENG,
2314,Perspectives in Auditing,"Willingham, John J. Carmichael, Douglas R.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070099968,1975,2,,480,,ENG,
2315,Auditing Concepts and Methods,"Willingham, John J. Carmichael, Douglas R.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070099999,1989,3,,672,,ENG,
2316,Dissent and Disruption : Proposals for Consideration by the Campus,Carnegie Commission on Higher Education,1,Trade Cloth,"McGraw-Hill Companies, The",9780070100312,1971,,,,,ENG,
2317,Sponsored Research of the Carnegie Commission on Higher Education,Carnegie Commission on Higher Education,1,Trade Cloth,"McGraw-Hill Companies, The",9780070100732,1975,6,,416,,ENG,
2318,Living with Dying : A Loving Guide for Family and Close Friends,"Carroll, D.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070100985,1985,4,,400,,ENG,
2319,CLEP Resource Manual : Introduction to Sociology,"Cecchettini, Philip A.",1,Paperback,"McGraw-Hill Companies, The",9780070103061,1979,,,,,ENG,
2320,Plasticity in Reinforced Concrete,"Chen, Wayne F.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070106871,1982,1,,576,,ENG,
2321,Introduction to Approximation Theory,"Cheney, Elliott W.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070107571,1966,,,,,ENG,
2322,Designing and Implementing Local Area Networks,"Chorafas, Dimitris N.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070108196,1983,2,,256,,ENG,
2323,Aviator's Guide to GPS,"Clarke, Bill",1,Trade Cloth,McGraw-Hill School Education Group,9780070112711,1994,4,,235,,ENG,
2324,Concise Process Handbook,"Clausen, Dennis M.",1,Paperback,"McGraw-Hill Companies, The",9780070112872,1987,,,"xix, 314",,ENG,
2325,Electrical Engineering Science,"Johnson, W. Clement, Preston",2,Trade Cloth,"McGraw-Hill Companies, The",9780070113206,1960,,,,,ENG,
2326,Organic Chemistry : A Brief Course,"Carey, Francis A. Atkins, Robert Charles",2,Trade Cloth,McGraw-Hill Higher Education,9780070113374,1996,2,,524,,ENG,
2327,"Medes and Persians, Conquerors and Diplomats","Collins, Robert J.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070118133,1972,,,176,,ENG,
2328,Retrofitting for Energy Conservation,"Clark, William",1,Trade Cloth,McGraw-Hill Professional Publishing,9780070119208,1997,0,,427,,ENG,
2329,Multicultural Communication and Pop Culture,Byrd,1,Trade Cloth,McGraw-Hill Create (TM),9780070119246,1996,8,,,,ENG,
2330,Capitalizing Medical Groups : Positioning Physicians for the Future,"Healthcare Financial Management Association Staff Moore, Keith D. Coddington, Dean C. Clarke, Richard L.",4,Trade Cloth,McGraw-Hill Professional Publishing,9780070120235,1997,2,,300,,ENG,
2331,American Aviation : An Illustrated History,"Cook, LeRoy",1,Paperback,"McGraw-Hill Companies, The",9780070124882,1993,2,,528,,ENG,
2332,Legal Environment of Business,"Black, Robert L. Corley, Robert Neil",2,Trade Cloth,"McGraw-Hill Companies, The",9780070131804,1973,,,"xix, 664",,ENG,
2333,Random House Handbook,"Crews, Frederick C.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070136427,1992,1,,65,,ENG,Teacher's Edition of Textbook
2334,Computer Accounting with Peachtree for Microsoft Windows : For Version 5.0,"Peachtree Software Staff Yacht, Carol",2,Spiral,McGraw-Hill Higher Education,9780070137615,1998,8,,650,,ENG,
2335,Rome and Her Empire,"Cunliffe, Barry W.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070149151,1978,,,,,ENG,
2336,Amazing Solar Science Activities,"Daley, Michael",1,Paperback,McGraw-Hill Trade,9780070151772,1997,8,,112,,ENG,
2337,Horizon Concise History of France,"Davidson, Marshall B.",1,Trade Cloth,American Heritage Publishing,9780070154537,1971,,,219,,ENG,
2338,Troubleshooting and Repairing Camcorders,"Davidson, Homer L.",1,Trade Cloth,McGraw-Hill Professional Publishing,9780070157590,1996,5,,524,,ENG,Revised
2339,Construction Office Administration,"Deatherage, George E.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070162112,1964,,,,,ENG,
2340,Portable Router Book,"De Cristoforo, R. J.",1,Trade Cloth,McGraw-Hill School Education Group,9780070163362,1993,1,,,,ENG,
2341,Research Act,"Denzin, Norman K.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070163614,1978,,,"xi, 370",,ENG,
2342,Health Through Discovery,Dintiman,1,Trade Cloth,"McGraw-Hill Companies, The",9780070170001,1989,1,,,,ENG,Supplement
2343,With a Vengeance,"Di Pego, Gerard",1,Trade Cloth,"McGraw-Hill Companies, The",9780070170124,1977,3,,262 p. ;,,ENG,
2344,Energy Factbook,"Dorf, Richard C.",1,Paperback,"McGraw-Hill Companies, The",9780070176294,1981,,,256,,ENG,
2345,Converting Microsoft C to Microsoft C C,"Dorfman, Len",1,Paperback,"McGraw-Hill Companies, The",9780070178298,1992,2,,,,ENG,
2346,Schaum's Outline of Partial Differential Equations,"Zachmann, D. W. DuChateau, Paul C.",2,Paperback,"McGraw-Hill Companies, The",9780070178977,1986,1,01,256,,ENG,
2347,Handbook of Practical Gear Design,"Dudley, D. W.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070179516,1984,2,,656,,ENG,Revised
2348,Auscultation of the Heart : A Cardiophonetic Approach,"Michael, Don Michael, T. Anthony",2,Paperback,McGraw-Hill Professional Publishing,9780070180055,1997,0,,304,,ENG,
2349,Electric Energy Systems Theory : An Introduction,"Elgerd, Olle I.",1,Trade Cloth,McGraw-Hill Higher Education,9780070191686,1970,,,"xxi, 564",,ENG,
2350,Divorce Decisions Workbook : A Planning and Action Guide to the Practical Side of Divorce,"Engel, Marjorie L.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070195721,1992,1,,,,ENG,Workbook
2351,Intermediate Accounting I,"Englard, Baruch",1,Paperback,"McGraw-Hill Companies, The",9780070195790,1995,3,,320,,ENG,
2352,Salesmanship Fundamentals : Creative Selling for Today's Market,"DaVall, G. M. Ernest, John W.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070196087,1965,,,,,ENG,
2353,Captains of Consciousness,"Ewen, Stuart",1,Trade Cloth,"McGraw-Hill Companies, The",9780070198456,1977,5,,,,ENG,
2354,Happy Lioness,"Fatio, Louise",1,Trade Cloth,"McGraw-Hill Companies, The",9780070200692,1980,,,113,,ENG,
2355,Schaum's Outline of Child Psychology,"Faw, Terry",1,Paperback,"McGraw-Hill Companies, The",9780070201101,1979,9,,,,ENG,
2356,Feldman Pathways Psychology,Moye,1,Trade Cloth,"McGraw-Hill Companies, The",9780070207998,1993,4,,,,ENG,Teacher's Edition of Textbook
2357,Introduction to Geometry,"Fitting, Marjorie A.",1,Paperback,"McGraw-Hill Companies, The",9780070211827,1995,9,,,,ENG,
2358,Dynamic Systems : Modeling and Analysis,"Esfandiari, Ramin S. Vu, Hung V.",2,Paperback,"McGraw-Hill Companies, The",9780070214736,1995,7,,274,,ENG,
2359,Psychology for Living,"Forehand, G. A.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070215207,1977,3,,,,ENG,
2360,Microeconomics and Behavior,"Frank, Robert H.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070218772,1993,0,,,,ENG,
2361,Nurse's Guide to Diagnostic Procedures,"French, Ruth M.",1,Paperback,"McGraw-Hill Companies, The",9780070221475,1980,1,,,,ENG,
2362,"Write to the Point! : Letters, Memos, and Reports That Get Results","Oldham, Neild B. Fruehling, Rosemary T.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070225497,1987,7,,256,,ENG,
2363,Principles of Biology,Gallagher,1,Paperback,"McGraw-Hill Companies, The",9780070228085,1994,1,,,,ENG,Lab Manual
2364,History of Rock Music : The Rock and Roll Era,"Gass, Glenn",1,Spiral,"McGraw-Hill Companies, The",9780070229884,1994,8,01,,,ENG,
2365,Microwave Amplifiers and Oscillators,"Gentili, C.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070229952,1987,2,,150,,ENG,
2366,Advocacy : The Art of Pleading a Cause,"Givens, Richard A.",1,Trade Cloth,Shepard's,9780070233560,1981,4,,"xxi, 857",,ENG,
2367,Life Skills and Leadership for Engineers,"Goldberg, David E.",1,Paperback,McGraw-Hill Higher Education,9780070236899,1994,1,,320,,ENG,
2368,Grass Systematics,"Gould, Frank W.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070238480,1968,8,,"xiii, 382",,ENG,
2369,History of the American People,"White Fite Graebner, Norman A.",3,Trade Cloth,"McGraw-Hill Companies, The",9780070238862,1975,2,,,2,ENG,
2370,Enhanced Batch File Programming,"Gookin, Dan",1,Paperback,"McGraw-Hill Companies, The",9780070239371,1992,6,,,,ENG,
2371,Kite for Bennie,"Gray, Genevieve",1,Trade Cloth,"McGraw-Hill Companies, The",9780070241978,1972,,,40,,ENG,
2372,Clinical Examination of the Nervous System,"Gilman, Sid",1,Trade Cloth,McGraw-Hill School Education Group,9780070242524,1999,8,,321,,ENG,
2373,Chemical Engineering Guide to Valves,"Greene, R. W.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070243132,1984,1,,250,,ENG,
2374,Mechanical Details for Product Design,,0,Trade Cloth,"McGraw-Hill Companies, The",9780070243644,1964,,,,,ENG,
2375,Gregg Shorthand Manual,"Gregg, John R.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070245013,1929,2,,,,ENG,Anniversary
2376,DB2 Common Server Application Development,"Gopaul, Mitra",1,Trade Cloth,McGraw-Hill Osborne,9780070245655,1998,2,,960,,ENG,
2377,Financial Analysis Using Calculators : Time Value of Money,"Greynolds, Elbert B. Frame, Robert J. Aronfsky, J. S.",3,Paperback,"McGraw-Hill Companies, The",9780070246904,1980,,,,,ENG,
2378,"Industrial Robotics : Technology, Programming and Applications","Nagel, Roger N. Groover, Mikell P. Weiss, M.",3,Trade Cloth,McGraw-Hill Higher Education,9780070249899,1986,3,,480,,ENG,
2379,Getting Started in Electricity and Electronics,"Feirer, John L. Groneman, Chris H.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070249998,1979,1,,,,ENG,
2380,Helping Your Aging Parents : A Practical Guide for Adult Children,"Halpern, J.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070255869,1987,8,,272,,ENG,
2381,Microcomputer Accounting Applications : TRS-80 Model III Program Disks,"Hamilton, S. S.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070258150,1982,9,,,,ENG,
2382,Secret Life of Quanta,"Han, M. Y.",1,Paperback,"McGraw-Hill Companies, The",9780070259690,1992,1,,,,ENG,
2383,Spanish Riding School : Four Centuries of Classic Horsemanship,"Handler, Hans",1,Trade Cloth,"McGraw-Hill Companies, The",9780070259843,1972,,,256,,"German,ENG",
2384,Progressive Typewriting Speed Practice,"Hansen, Beatrice E.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070260603,1968,,,,,ENG,
2385,Hybrid Microelectronics Handbook,"Sergent, Jerry E.",1,Trade Cloth,McGraw-Hill Professional Publishing,9780070266919,1995,7,,768,,ENG,
2386,Thermal Management Handbook : For Electronic Assemblies,"IMAPS Staff Sergent, Jerry E. Krum, Al",3,Trade Cloth,McGraw-Hill Professional Publishing,9780070266995,1998,5,31,650,,ENG,
2387,Testing English As a Second Language,"Harris, David P.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070267954,1969,6,,,,ENG,
2388,Modern Air Conditioning Practice,"Harris, Norman C.",1,Trade Cloth,McGraw-Hill Higher Education,9780070268333,1983,3,,464,,ENG,
2389,Arts and the Schools,"Hausman, Jerome J.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070272255,1980,8,,332,,ENG,
2390,Precalculus Mathematics,"Henderson, Kenneth B. Zaring, Wilson M. Usiskin, Zalman",3,Trade Cloth,"McGraw-Hill Companies, The",9780070281523,1971,,,"ix, 704",,ENG,
2391,Real Estate Principles,"Hoagland, Henry E.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070290884,1955,,,,,ENG,
2392,Yesterday and Today : A Dictionary of Recent American History,"Hochman, Stanley",1,Trade Cloth,"McGraw-Hill Companies, The",9780070291034,1979,,,407,,ENG,
2393,Statlab,"Hodges, J. L.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070291348,1975,2,,384,,ENG,
2394,Walk Past Ellen's House,"Hoff, Syd",1,Library Binding,"McGraw-Hill Companies, The",9780070291768,1973,8,,32,,ENG,
2395,New World of Health,"Hoffman, Norman S.",1,Trade Cloth,McGraw-Hill Higher Education,9780070292031,1977,1,,,,ENG,
2396,Numerical Methods for Engineers and Scientists,"Hoffman, Joe",1,Trade Cloth,McGraw-Hill Higher Education,9780070292130,1992,1,,704,,ENG,
2397,Mathematics with Applications,"Orkin, Michael Hoffman, Laurence D.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070293014,1979,3,,,,ENG,
2398,"ABC of Cars, Trucks and Machines","Holl, Adelaide",1,Trade Cloth,"McGraw-Hill Companies, The",9780070295612,1970,2,,,,ENG,
2399,Experimental Methods for Engineers,"Holman, Jack P.",1,Trade Cloth,McGraw-Hill Higher Education,9780070296664,1994,1,,640,,ENG,
2400,Experiment Methods for Engineering,Holman,1,Trade Cloth,"McGraw-Hill Companies, The",9780070296671,1993,1,,,,ENG,Student Edition of Textbook
2401,Gtwy L-6 Repl Kit,,0,Trade Cloth,"McGraw-Hill Companies, The",9780070297562,1989,,,,,ENG,
2402,Money Matters : A Critical Look at Bank Architecture,,0,Paperback,"McGraw-Hill Companies, The",9780070305359,1990,,,"xii, 300",,ENG,
2403,New Horizons for Human Factors in Design,"Huchingson, R. Dale",1,Paperback,"McGraw-Hill Companies, The",9780070308169,1981,2,,,,ENG,Teacher's Edition of Textbook
2404,Clinical Essays on the Heart,"Hurst, J. Willis",1,Trade Cloth,McGraw-Hill Professional Publishing,9780070314979,1984,,,328,,ENG,
2405,Family Health Care,"Barnard, Martha U. Hymovich, Debra P.",2,Paperback,"McGraw-Hill Companies, The",9780070316751,1979,1,,"xix, 388",1,ENG,
2406,Pentium Processor User's Manual,Intel Corporation Staff,1,Paperback,"McGraw-Hill Companies, The",9780070324367,1993,4,,,2,ENG,
2407,Flash Memory,Intel Corporation Staff,1,Paperback,"McGraw-Hill Companies, The",9780070329027,1996,1,,,1,ENG,
2408,Congenital Heart Diseases Adult,"Rosenbaum, Marlon Gersony, Welton",2,Trade Cloth,McGraw-Hill Professional Publishing,9780070329096,2001,2,20,304,,ENG,
2409,Steps to English B1,Kernan,1,Other,"McGraw-Hill Companies, The",9780070331617,1982,0,,,,ENG,
2410,New Dimensions in Mental Health-Psychiatric Nursing,"Kalkman, Marion Davis, Anne B.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070332423,1974,3,,704,,ENG,Revised
2411,What Is Man?,"Kaufmann, Walter",1,Paperback,"McGraw-Hill Companies, The",9780070333161,1978,0,,,,ENG,
2412,Growing Years : A Study Guide for the Televised Course,"Skagen-Munshi, Kiki Kaushall, Philip",2,Paperback,"McGraw-Hill Companies, The",9780070334595,1979,,,,,ENG,Student Edition of Textbook
2413,VS COBOL II for COBOL Programmers,"Kavanagh, Paul",1,Trade Cloth,"McGraw-Hill Companies, The",9780070335714,1990,1,,,,ENG,
2414,Brains of Men and Machines,"Kent, Ernest W.",1,Paperback,"McGraw-Hill Companies, The",9780070341227,1995,7,,272,,ENG,
2415,Bridges to English,"Kernan, Doris Protase, E. Woodford",2,Trade Cloth,"McGraw-Hill Companies, The",9780070344938,1981,1,,"vii, 152",3,ENG,
2416,Bridges to English,"Kernan, Doris Protase, E. Woodford",2,Other,"McGraw-Hill Companies, The",9780070344952,1981,1,,,3,ENG,Workbook
2417,Fergus and the Snow Deer,"Kimura, Yasuko",1,Trade Cloth,"McGraw-Hill Companies, The",9780070345539,1979,0,,,,ENG,
2418,Basic Goals in Spelling,"Kottmeyer, William A.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070346352,1984,1,,,5,ENG,Student Edition of Textbook
2419,Basic Goals in Spelling,"Kottmeyer, William A.",1,Other,"McGraw-Hill Companies, The",9780070346932,,,,,3,ENG,
2420,Advanced Fixed Income Analysis,,0,Audio Cassette,McGraw-Hill Professional Publishing,9780070347793,1998,7,,,,ENG,
2421,Basic Goals in Spelling,"Kottmeyer, William A.",1,Paperback,Macmillan/McGraw-Hill School Division,9780070347977,,,,,,ENG,Workbook
2422,Disorganized Personality,"Kisker, George W.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070348769,1972,,,"xiv, 562",,ENG,
2423,How to Excel on Your Atari 600XL,"Knight, Timothy O.",1,Paperback,"McGraw-Hill Companies, The",9780070351042,1984,9,,144,,ENG,
2424,Molecular Virology,"Knight, C. A.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070351127,1974,1,,256,,ENG,
2425,"Texans, Their Land and History","Kownslar, Allan O.",1,Trade Cloth,"McGraw-Hill Companies, The",9780070353909,1978,,,512,,ENG,
2426,American Government,"Kownslar, Allan O. Smart, Terry L.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070354388,1983,1,,640,,ENG,
2427,What Color Is Caesar?,"Kumin, Maxine",1,Trade Cloth,"McGraw-Hill Companies, The",9780070356382,1978,,,,,ENG,
2428,Educating Young Children : Infancy to Grade Three,"Krogh, Suzanne L.",1,Trade Cloth,McGraw-Hill Higher Education,9780070357082,1994,1,,512,,ENG,
2429,"Risk Assessment and Management Handbook for Environmental, Health and Safety Professionals","Kolluru, Rao V.",1,Paperback,"McGraw-Hill Companies, The",9780070359574,1993,7,,,,ENG,
2430,Basic Goals in Spelling : Grade 7,"Kottmeyer, William A.",1,Other,Macmillan/McGraw-Hill School Division,9780070364370,,,,,,ENG,
2431,Flip Chip Technologies,"Lau, John H.",1,Trade Cloth,McGraw-Hill Professional Publishing,9780070366091,1995,2,,560,,ENG,
2432,Purchasing and Materials Management : Text and Cases,"Dobler, Donald W. Burt, David N.",2,Trade Cloth,"McGraw-Hill Companies, The",9780070370470,1990,1,,800,,ENG,
2433,Irwin Guide to Using the Wall Street Journal,"Lehmann, Michael B.",1,Paperback,"McGraw-Hill Companies, The",9780070371194,1997,1,,416,,ENG,
2434,Castles,"Day, David",1,Paperback,"McGraw-Hill Companies, The",9780070372801,1986,9,,192,,ENG,
2435,Discovering Calculus,"Levine, Laura",1,Other,McGraw-Hill Create (TM),9780070375550,1993,1,,,,ENG,
2436,Simulation : Programming Techniques,,0,Paperback,"McGraw-Hill Companies, The",9780070378261,1979,5,,,2,ENG,
2437,Insects of the World,"Linsenmaier, Walter",1,Trade Cloth,"McGraw-Hill Companies, The",9780070379534,1972,1,,360,,"ENG,German",
